"","GVKEY","fyear","ebit","leverage_ratio","cash_flow"
"1",1004,2011,142.36,0.36058794354117,10.835
"2",1013,2009,18.3,0.484965763620125,-107.1
"3",1013,2010,59.9,0.441573414716853,-18.2
"4",1045,2008,-573,0.435233366434955,43
"5",1045,2009,-745,0.459823885525592,-38
"6",1045,2010,308,0.443877551020408,15
"7",1045,2011,-286,0.344682992284468,115
"8",1045,2013,1935,0.397346137471025,660
"9",1045,2014,5073,0.409037947499486,-146
"10",1045,2015,7284,0.424682433130228,-604
"11",1045,2016,6007,0.474782540858915,-68
"12",1072,2008,109.52,0,-12.298
"13",1072,2009,169.071,0,-107.124
"14",1072,2010,333.499,0,-37.244
"15",1072,2011,275.551,0,16.605
"16",1072,2012,146.405,0,92.204
"17",1072,2013,159.164,0,-26.623
"18",1072,2014,212.749,0,-74.778
"19",1072,2015,169.302,0,71.796
"20",1072,2016,202.047,0,125.332
"21",1076,2010,194.761,0.0278215691391624,-37.663
"22",1076,2011,228.118,0.0886315814953067,104.235
"23",1076,2012,254.6,0.0780659363935377,-46.723
"24",1076,2013,221.959,0.0781008507116994,101.557
"25",1076,2014,176,0.246691283614263,-227.542
"26",1076,2015,244.117,0.229589582060082,11.393
"27",1076,2016,260.131,0.190320812192056,293.492
"28",1078,2007,5523.545,0.261529004285751,1734.934
"29",1078,2008,6477.095,0.251542084570941,1770.798
"30",1078,2009,6903.741,0.219655146421775,4578.469
"31",1078,2010,8038.781,0.245003898775065,-4540.075
"32",1078,2011,8996.448,0.216778227106032,3207.454
"33",1078,2012,9783.515,0.273579836699202,3949.206
"34",1078,2013,2674,0.0790864433217703,-7301
"35",1078,2014,2927,0.083900666262871,731
"36",1078,2015,3372,0.142410357116881,1136
"37",1078,2016,3622,0.392739148596818,14102
"38",1082,2010,-2.714,0.230059478420009,0.202
"39",1094,2009,11.343,0,14.187
"40",1094,2010,14.099,0.00237221318864271,-24.049
"41",1094,2011,17.61,0.176461906213402,-5.18800000000001
"42",1094,2012,27.011,0.152917000801925,-2.068
"43",1094,2013,37.66,0.099152830597038,7.974
"44",1094,2014,47.516,0.225437194433998,8.95600000000001
"45",1094,2015,53.827,0.22491393989881,-4.803
"46",1094,2016,56.954,0.219663151977336,32.792
"47",1094,2017,44.426,0.340657975216363,-11.649
"48",1121,2008,-11.474,0,-5.489
"49",1121,2009,6.401,0,-1.402
"50",1121,2010,12.546,0,12.226
"51",1121,2011,32.61,0,8.03399999999999
"52",1121,2012,41.846,0,10.173
"53",1121,2013,34.376,0,13.494
"54",1121,2014,6.953,0,19.451
"55",1121,2015,-2.359,0,11.693
"56",1121,2016,6.054,0,-4.535
"57",1161,2008,-968,0.649902280130293,-499
"58",1161,2009,-513,0.502313284864508,724
"59",1161,2010,492,0.441579371474617,-1051
"60",1161,2011,495,0.406943883730319,263
"61",1161,2012,31,0.5105,-320
"62",1161,2013,85,0.474521558681116,320
"63",1161,2014,149,0.587204672152907,-64
"64",1161,2015,-319,0.727565133483435,-20
"65",1166,2008,94.906,0.178202822499902,-23.864
"66",1166,2009,15.093,0.265634216355796,197.852
"67",1166,2010,450.934,0.151145987739384,48.1539999999999
"68",1166,2011,348.466,0.0977923283226518,88.228
"69",1166,2012,117.549,0.0126362435889461,-135.684
"70",1166,2013,60.196,0,36.004
"71",1177,2008,2483.7,0.101479673662924,-74.4999999999995
"72",1177,2009,2169.9,0.0944088777288952,24.1000000000004
"73",1177,2010,2856.1,0.116125322607143,664
"74",1177,2011,3461.7,0.103067646807331,-1187.9
"75",1177,2012,3034.3,0.156196604369254,1899.5
"76",1177,2014,4219.7,0.151329254842038,8.10000000000036
"77",1177,2015,4762.9,0.146525631690567,1103.9
"78",1177,2016,5229,0.298802533769126,15472
"79",1186,2008,58.72,0.065690607146155,-238.302
"80",1186,2009,130.003,0.176329891742088,87.313
"81",1186,2010,409.353,0.127012076138414,-61.7810000000001
"82",1186,2011,-716.404,0.190166304415622,85.5229999999999
"83",1186,2012,511.5,0.162688109726282,117.245
"84",1186,2013,-77.594,0.206453696939463,-157.448
"85",1186,2014,287.119,0.207282234233623,45.9409999999999
"86",1186,2015,168.035,0.172339215762556,-39.0409999999999
"87",1186,2016,355.692,0.170870620801972,415.513
"88",1209,2009,1154.2,0.31987627694929,384
"89",1209,2010,1443,0.284490481937524,-113.8
"90",1209,2011,1628,0.279881321418825,56.5
"91",1209,2012,1489.6,0.274970782325373,50.5
"92",1209,2013,1508.3,0.311690130587504,-15.3999999999999
"93",1209,2014,1603.7,0.275030794584653,-102.5
"94",1209,2015,1870.3,0.251443677923627,-107.3
"95",1209,2016,2140.4,0.292955531062901,1287.4
"96",1209,2017,1660.8,0.206788251602842,1929.4
"97",1210,2008,6.666,0.0164275246242459,6.801
"98",1210,2009,5.434,0.000675584380489123,2.925
"99",1210,2010,3.336,0.000233774582858479,-3.263
"100",1210,2013,2.609,0,-5.439
"101",1210,2014,2.548,0.115058910162003,10.406
"102",1210,2015,6.285,9.58680855143323e-05,-8.045
"103",1210,2016,-1.441,0.281824443253999,-2.566
"104",1230,2008,-130.4,0.380759368020515,78.8000000000001
"105",1230,2009,312,0.372156469408225,-118.9
"106",1230,2010,484.8,0.305824662121756,-74.6999999999999
"107",1230,2011,487.8,0.251568816169394,12.7
"108",1230,2012,532,0.187465940054496,20
"109",1230,2013,646,0.149194929770469,-42
"110",1230,2014,932,0.129914253357062,27
"111",1230,2015,1330,0.105005357416195,-34
"112",1230,2016,1466,0.2975306163421,255
"113",1234,2009,25.993,0,8.638
"114",1234,2010,30.977,0,-10.024
"115",1234,2011,38.168,0,13.92
"116",1234,2012,33.626,0,-16.591
"117",1234,2013,37.944,0,20.56
"118",1234,2014,40.817,0,-7.78400000000001
"119",1234,2015,42.51,0,7.571
"120",1234,2016,39.126,0,-8.32400000000001
"121",1239,2009,192.874,0.00038767302476101,29.848
"122",1239,2010,235.342,0.0800851845443292,-166.499
"123",1254,2012,104.2,0.271736353572341,-1.60000000000001
"124",1254,2013,102.3,0.22919170071297,94.6
"125",1254,2014,133.4,0.266514481381081,178.9
"126",1254,2015,212.1,0.257455982752425,-267.9
"127",1254,2016,140.4,0.366608781939965,-11.6
"128",1257,2010,123.563,0.742220568093849,-15.514
"129",1257,2014,96.689,0.72566637811829,-119.903
"130",1257,2015,95.205,0.727487346388471,31.534
"131",1257,2016,105.461,0.725149700598802,29.577
"132",1266,2009,-7.258,0.394176842210403,-35.576
"133",1266,2011,15.237,0.317482711694948,-9.59
"134",1274,2009,430.213,0,14.401
"135",1274,2011,249.363,0.0461609897610237,8.00800000000001
"136",1274,2016,688.904,0.0621507100913595,102.786
"137",1300,2008,4541,0.194082840236686,398
"138",1300,2009,3860,0.201755360515498,661
"139",1327,2009,87.685,0.0588293886489302,139.117
"140",1327,2010,198.704,0.0158198065025971,89.036
"141",1327,2011,309.001,0,-43.17
"142",1327,2012,278.86,0,-103.794
"143",1327,2013,353.6,0,204
"144",1327,2014,571.2,0,294.7
"145",1327,2015,1026.7,0,237.8
"146",1327,2016,1131,0,40.2
"147",1327,2017,1257.7,0,533
"148",1356,2008,2271,0.226455502088731,302
"149",1356,2009,-702,0.250649823248076,681
"150",1356,2010,1254,0.230906268292062,37
"151",1356,2011,1781,0.226445663010967,403
"152",1356,2012,839,0.218422559048259,-60
"153",1356,2013,1125,0.23115662246097,-391
"154",1380,2008,5053,0.138339920948617,301
"155",1380,2009,1927,0.151603597488546,454
"156",1380,2010,2921,0.157334162052209,246
"157",1380,2011,3439,0.154333605887163,-1257
"158",1380,2012,3475,0.169448217122074,291
"159",1380,2013,2861,0.135613042054545,1172
"160",1380,2014,2052,0.155192078386645,630
"161",1382,2008,-746,0.553922927640699,-914
"162",1382,2009,183,0.607190770056346,265
"163",1382,2010,785,0.562731807136462,560
"164",1382,2011,452,0.547810437912418,88
"165",1393,2008,137.692,0.40430339499403,35.402
"166",1393,2009,191.577,0.358179794357619,0.887
"167",1393,2010,354.637,0.334719936094311,131.107
"168",1393,2011,395.119,0.319337067857658,-25.102
"169",1393,2012,476.687,0.313165621459009,107.1
"170",1393,2013,596.657,0.323781650807854,31.545
"171",1393,2014,649.093,0.31880285353618,-42.5
"172",1393,2015,773.111,0.329879611936361,174.536
"173",1393,2016,681.578,0.346899373155401,99.3000000000001
"174",1408,2008,1050.3,0.388160669539113,-12.4
"175",1408,2009,718.9,0.356757150016976,220.8
"176",1408,2010,812.2,0.333562124762333,449.1
"177",1408,2011,600.9,0.253890920740009,-629.8
"178",1408,2012,631.9,0.288784170246269,140.3
"179",1408,2013,667.6,0.235826528591564,-87.3
"180",1410,2009,82.506,0.113400821613605,7.41200000000001
"181",1410,2010,118.882,0.090723007483841,5.29300000000001
"182",1410,2011,124.148,0.159608597157477,-12.979
"183",1410,2012,111.711,0.115019331272258,16.992
"184",1410,2013,124.776,0.148577128738847,-10.82
"185",1410,2014,137.2,0.145834283369055,4.10000000000001
"186",1410,2015,95.5,0.0734952088566378,18.8
"187",1410,2016,118.3,0.117613536735052,1.29999999999998
"188",1410,2017,101.1,0.309027959922363,7.80000000000005
"189",1414,2012,299.989,0.0362195255370131,-24.459
"190",1414,2015,324.488,0.0697132212708885,-34.644
"191",1414,2016,366.286,0.0765289240448178,59.11
"192",1439,2013,53.169,0,72.126
"193",1439,2014,78.796,0.429038272336401,-50.328
"194",1439,2015,79.531,0.380498635339714,-16.523
"195",1439,2016,70.029,0.357241112828439,1.03400000000001
"196",1447,2008,3691,0.476236178752161,5262
"197",1447,2009,2607,0.421781316485075,-5015
"198",1447,2010,6395,0.451680472246025,-25
"199",1447,2011,7594,0.388490710004761,8600
"200",1447,2012,8394,0.385092072613295,-2731
"201",1447,2013,8861,0.360749796251019,-2613
"202",1447,2014,8963,0.364260887601114,3034
"203",1447,2015,8968,0.298174756799682,750
"204",1447,2016,8074,0.295733606892689,2560
"205",1449,2008,1943,0.0216939153672587,-701
"206",1449,2011,3188,0.0280524670799816,77
"207",1449,2015,4381,0.0423598431054304,-308
"208",1449,2016,4472,0.0412882551860668,513
"209",1468,2008,42.566,0.272162272246664,-41.328
"210",1468,2009,154.892,0.215554397702482,70.935
"211",1468,2010,181.797,0.150388205130525,70.817
"212",1468,2011,168.981,0.145328319986783,-83.403
"213",1468,2012,126.119,0.180857399257198,-42.412
"214",1478,2008,6946.234,0.266609093025747,-339.774
"215",1487,2011,5828,0.13540240349927,-113
"216",1487,2014,10902,0.0605472273027904,-409
"217",1487,2016,2738,0.0620394007995761,187
"218",1491,2009,-1.404,0.365904750371084,3.599
"219",1491,2010,8.081,0.356777676846509,27.725
"220",1526,2008,-299.752,0.00608952210130026,-67.973
"221",1526,2010,202.623,0.00280856911529466,-60.0339999999999
"222",1526,2011,265.711,0.00261469235654221,0.66500000000002
"223",1526,2012,271.745,0.00707073513504998,200.894
"224",1526,2013,362.47,0.00488101054997789,-185.062
"225",1526,2014,328.746,0.00459310609070061,91.509
"226",1526,2015,268.688,0.00540852341448982,-19.218
"227",1526,2016,199.177,0.00554676430189235,-21.592
"228",1539,2009,34.7,0.0222802663357485,-3.783
"229",1545,2008,-2.05,0.746248547216219,-5.518
"230",1545,2015,22.982,0.717256982480257,2.93299999999998
"231",1554,2008,42.024,0.0355589350210782,53.001
"232",1554,2009,54.324,0.0279370224743458,-70.507
"233",1554,2010,64.444,0.0210236084783733,25.232
"234",1554,2011,31.949,0.0177119726655688,-35.775
"235",1554,2012,26.268,0.0156440420822245,16.049
"236",1554,2013,22.756,0.0109788295023558,21.725
"237",1554,2014,1.165,0,6.692
"238",1554,2015,-2.23,0,12.736
"239",1559,2012,2.885,0.589637630757061,-1.016
"240",1559,2013,3.034,0.575687881575646,0.333
"241",1559,2014,1.649,0.528136476720768,-0.842000000000001
"242",1559,2015,3.219,0.427209224969509,1.15
"243",1559,2016,4.993,0.446153338394006,0.662
"244",1562,2008,7.45,0,-21.607
"245",1562,2009,7.979,0,-15.899
"246",1562,2010,9.412,0,2.198
"247",1562,2011,16.168,0,15.183
"248",1562,2012,13.784,0,2.053
"249",1562,2013,14.594,0,14.639
"250",1562,2014,9.624,0,-11.148
"251",1562,2015,13.527,0,4.349
"252",1562,2016,7.905,0,16.997
"253",1585,2011,36.369,0.195720953821567,34.997
"254",1585,2012,59.134,0.131143564480232,2.894
"255",1585,2013,55.441,0.115646015246635,-32.284
"256",1593,2008,55.455,0.0726289441872888,-3.17099999999999
"257",1593,2009,45.476,0.0502249691495235,27.151
"258",1593,2010,26.173,0.0398531671547874,54.314
"259",1598,2008,472.677,0.363824486784996,-75.894
"260",1598,2009,366.05,0.320909036016897,155.808
"261",1598,2010,482.158,0.305980101678094,-81.181
"262",1598,2011,638.041,0.292609544182299,13.97
"263",1598,2012,745.872,0.219818822764147,-16.728
"264",1598,2013,815.079,0.195092738871795,130.042
"265",1598,2014,898.586,0.253221518329883,108.468
"266",1598,2015,944.321,0.244281292154135,30.019
"267",1598,2016,841.353,0.329766582721584,361.522
"268",1602,2008,5653,0.279230579260763,-250
"269",1602,2009,5537,0.2675061192561,1110
"270",1602,2010,5591,0.307271305707584,403
"271",1602,2011,5345,0.438460436659778,3659
"272",1602,2012,6124,0.488581531548123,-3689
"273",1602,2013,6290,0.485867674858223,548
"274",1602,2014,6864,0.445086872726746,-74
"275",1602,2015,8603,0.440874035989717,413
"276",1602,2016,9895,0.437881637595651,-903
"277",1611,2010,-13.231,0.430454862539575,-35.747
"278",1611,2011,-114.551,0.547280976223971,19.867
"279",1613,2008,64.567,0.0272219165979864,14.588
"280",1613,2009,49.536,0.0282117310443491,-16.682
